"acra" "numa" "acrb" "numb" "year" "expab" "impab" "Population" "source_trade" "source_pop" "source_gdp" "GDP" "tradeop" "ln.tradeop" "GDPpC" "ln.GDPpC" "PolitySC2" "outFDI" "inFDI" "outFDIstock" "inFDIstock" "source_FDI" "emig_ab" "immig_ba" "source_emig" "source_immig" "credit" "debit" "source_serv" "Distance" "ECOfreq" "PMfreq" "CAPfreq" "SERfreq" "ECOcum" "PMcum" "CAPcum" "SERcum" "crisis" "bankcrisis" "currcrisis" "debtcrisis" "globcrisis" "domcrisis" "HId" "LMId" "refugeecrisis" "contiguity" "bordercontrols" "EU_memb" "acra-bt-id" "acra-b-id" "ln.migop" "ln.capop" "ln.servop"
"60" "DEN" 390 "EST" 710 2010 222 246 5547683 1 2 4 225710.437887597 2073.4530683648 7.63697064541282 40.6855326606796 3.70587256637408 10 -178 NA 196 53 "UNC-14" NA 190 "OECD" "OECD" 109211.01593442 56289.0301188173 "EStat" 965 3 5 3 3 39.5 49.5 32.5 31 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA NA -0.310281456402587
"61" "DEN" 390 "EST" 710 2011 249 319 5570572 1 2 4 230990.97625969 2458.97051563361 7.80749805175537 41.4662939927336 3.72488090428308 10 75 19 331 70 "UNC-14" NA 214 "OECD" "OECD" 95639.8636824169 64568.9416966013 "EStat" 965 0 0 0 0 39.5 49.5 32.5 31 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA 4.25254400495618 -0.365900647911451
"62" "DEN" 390 "EST" 710 2012 287 307 5591572 1 2 4 237691.784786822 2499.03462390482 7.82365978584294 42.508937520043 3.74971434841081 10 35 17 442 88 "UNC-14" NA 249 "OECD" "OECD" 88096.3433729391 83214.6080869485 "EStat" 965 3 5 3 3 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA 4.47867282002095 -0.327494477750688
"63" "DEN" 390 "EST" 710 2013 270 357 5614932 1 2 4 242983.512015504 2580.42199982686 7.8557082303646 43.2745244315521 3.76756411155191 10 NA NA NA NA NA NA 209 "OECD" "OECD" 143686.10113291 102975.039145252 "EStat" 965 0 0 0 0 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA NA 0.0150219037509421
"64" "DEN" 390 "EST" 710 2014 294 391 5643475 1 2 4 245815.013372093 2786.64834422911 7.93259484235162 43.5573850104932 3.77407926436409 10 NA NA NA NA NA NA 193 "OECD" "OECD" NA NA "EStat" 965 0 0 0 0 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 0 0 0 1 10 11 NA NA NA
"65" "DEN" 390 "EST" 710 2015 246 324 5676002 1 2 4 249255.008430233 2286.81463048533 7.73491513716773 43.9138337918543 3.78222939098445 10 NA NA NA NA NA NA NA NA NA NA NA "EStat" 965 0 0 0 0 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 1 0 0 1 10 11 NA NA NA
"115" "DEN" 390 "FIN" 375 2000 1715 1206 5339616 1 2 4 191010.159302326 15292.3803145817 9.63510996467326 35.7722651408501 3.57717287642253 10 NA NA NA NA NA 74 184 "OECD" "OECD" 209542.230818827 565165.331122778 "EStat" 992.3 0 0 0 0 24.5 24.5 15.5 13 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -9.93770471331674 NA 1.4001590020161
"116" "DEN" 390 "FIN" 375 2001 1523 1186 5358783 1 2 4 190489.462209302 14221.259111034 9.56249324451709 35.5471498303444 3.5708599794865 10 312 -139 1359 707 "UNC-14" 76 209 "OECD" "OECD" 237082.066869301 531638.574191766 "EStat" 992.3 0 0 0 0 24.5 24.5 15.5 13 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -9.84175827475927 6.561210705537 1.39513075135164
"117" "DEN" 390 "FIN" 375 2002 1754 1256 5375931 1 2 4 193896.227034884 15523.7677701613 9.65012753296962 36.067469436435 3.58539133543839 10 201 128 1681 650 "UNC-14" 79 198 "OECD" "OECD" 253845.445334807 417887.077461546 "EStat" 992.3 3 5 3 3 27.5 29.5 18.5 16 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -9.87342482009399 6.47727342039074 1.24253712597907
"118" "DEN" 390 "FIN" 375 2003 2096 1310 5390574 1 2 4 186049.509496124 18306.9550101177 9.81503632182451 34.513858727498 3.54136094562289 10 88 317 2608 1404 "UNC-14" 84 167 "OECD" "OECD" 201160.541586073 483743.207147462 "EStat" 992.3 1 1 1 1 28.5 30.5 19.5 17 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -9.97470949158986 7.24719118488744 1.30326549721136
"119" "DEN" 390 "FIN" 375 2004 2207 1458 5404523 1 2 4 194155.462693798 18876.6257160637 9.84567970106058 35.9246251137794 3.58142299666442 10 228 -28 5487 2223 "UNC-14" 70 220 "OECD" "OECD" 214942.433453072 467877.866814037 "EStat" 992.3 4 4 4 4 32.5 34.5 23.5 21 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -9.83286583056165 7.70662931049663 1.2575725291486
"120" "DEN" 390 "FIN" 375 2005 2348 1646 5419432 1 2 4 193311.364437985 20660.9684413112 9.93600161675949 35.6700415168941 3.57431116328641 10 -554 -495 3823 1368 "UNC-14" 73 193 "OECD" "OECD" 306015.473887814 612665.561388966 "EStat" 992.3 0 0 0 0 32.5 34.5 23.5 21 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -9.92200526209457 7.22090449923429 1.5586368078669
"121" "DEN" 390 "FIN" 375 2006 2789 1905 5437272 1 2 4 206602.985755814 22719.9039879699 10.0309966469446 37.9975446797243 3.63752154394737 10 622 341 5427 1854 "UNC-14" 69 229 "OECD" "OECD" 279421.571336465 712491.480151055 "EStat" 992.3 3 4 3 3 35.5 38.5 26.5 24 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -9.81169453596006 7.52519645141797 1.5688364452847
"122" "DEN" 390 "FIN" 375 2007 2877 2145 5461438 1 2 4 215705.941182171 23281.6953138938 10.0554227219557 39.4961805264787 3.67620397169958 10 5694 77 9103 2128 "UNC-14" 51 250 "OECD" "OECD" 277709.311964631 783628.074053606 "EStat" 992.3 1 2 1 1 36.5 40.5 27.5 26 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -9.8061124182598 7.66323572283381 1.59336898002941
"123" "DEN" 390 "FIN" 375 2008 2974 2503 5493621 1 2 4 223520.409399225 24503.3552628192 10.1065653366589 40.6872642650858 3.70591512615995 10 454 -147 8855 2062 "UNC-14" 76 286 "OECD" "OECD" 339506.309293543 854728.746430874 "EStat" 992.3 0 4 2 2 36.5 44.5 29.5 28 1 1 0 0 1 0 1 0 0 0 0 1 10 12 -9.6274539470855 7.63144847805251 1.67575841156121
"124" "DEN" 390 "FIN" 375 2009 2259 1409 5523095 1 2 4 216202.065213178 16965.6103718681 9.73894365487163 39.1450925999242 3.66727506591907 10 93 149 8959 2351 "UNC-14" 42 197 "OECD" "OECD" 320886.98535507 761236.989960394 "EStat" 992.3 0 0 0 0 36.5 44.5 29.5 28 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -10.0479853976006 7.76260753802885 1.6104675751298
"125" "DEN" 390 "FIN" 375 2010 2397 1457 5547683 1 2 4 225710.437887597 17074.9746270896 9.74536919846949 40.6855326606796 3.70587256637408 10 -356 89 6930 2102 "UNC-14" 62 192 "OECD" "OECD" 328753.799392097 981220.410794879 "EStat" 992.3 3 5 3 3 39.5 49.5 32.5 31 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -9.99155665405862 7.65062622199273 1.75850979963428
"126" "DEN" 390 "FIN" 375 2011 2600 1629 5570572 1 2 4 230990.97625969 18308.0744905185 9.81509747050671 41.4662939927336 3.72488090428308 10 279 224 6997 2089 "UNC-14" 52 226 "OECD" "OECD" 399603.021092383 976215.344938749 "EStat" 992.3 0 0 0 0 39.5 49.5 32.5 31 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -9.90538718593847 7.6444751735791 1.78442536240155
"127" "DEN" 390 "FIN" 375 2012 2536 1524 5591572 1 2 4 237691.784786822 17080.9437256794 9.74571871907607 42.508937520043 3.74971434841081 10 242 -207 7545 2898 "UNC-14" 46 242 "OECD" "OECD" 435859.81394492 1152793.58938933 "EStat" 992.3 3 5 3 3 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -9.87381054191936 7.97177772358109 1.89966720773436
"128" "DEN" 390 "FIN" 375 2013 3207 1622 5614932 1 2 4 242983.512015504 19873.7764548069 9.89715637560522 43.2745244315521 3.76756411155191 10 NA NA NA NA NA 54 247 "OECD" "OECD" 389149.857234964 689693.285437966 "EStat" 992.3 0 0 0 0 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -9.83382977091395 NA 1.4906509925697
"129" "DEN" 390 "FIN" 375 2014 3099 1333 5643475 1 2 4 245815.013372093 18029.818192151 9.79978223251652 43.5573850104932 3.77407926436409 10 NA NA NA NA NA 69 294 "OECD" "OECD" NA NA "EStat" 992.3 0 0 0 0 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 0 0 0 1 10 12 -9.65160773422808 NA NA
"130" "DEN" 390 "FIN" 375 2015 2468 1116 5676002 1 2 4 249255.008430233 14378.848483613 9.57351355043395 43.9138337918543 3.78222939098445 10 NA NA NA NA NA NA NA NA NA NA NA "EStat" 992.3 0 0 0 0 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 1 0 0 1 10 12 NA NA NA
"180" "DEN" 390 "GFR" 260 2000 9850 9409 5339616 1 2 4 191010.159302326 100827.097733149 11.5211624252097 35.7722651408501 3.57717287642253 10 NA NA NA NA NA 2559 790 "OECD" "OECD" 2416321.2673851 3223358.20208161 "EStat" 537.6 0 0 0 0 24.5 24.5 15.5 13 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -7.37424722544416 NA 3.38525589452566
"181" "DEN" 390 "GFR" 260 2001 10100 9686 5358783 1 2 4 190489.462209302 103869.262743048 11.5508882983152 35.5471498303444 3.5708599794865 10 804 435 2753 1868 "UNC-14" 2473 887 "OECD" "OECD" 2976697.06180344 3314359.39946578 "EStat" 537.6 0 0 0 0 24.5 24.5 15.5 13 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -7.37455120207067 7.53286451829588 3.49728741790717
"182" "DEN" 390 "GFR" 260 2002 10880 10824 5375931 1 2 4 193896.227034884 111936.16467893 11.6256840295655 36.067469436435 3.58539133543839 10 1203 226 3349 2303 "UNC-14" 2210 845 "OECD" "OECD" 3208989.59196832 3284424.79506309 "EStat" 537.6 3 5 3 3 27.5 29.5 18.5 16 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -7.47290745467563 7.74215316035567 3.51122066729744
"183" "DEN" 390 "GFR" 260 2003 12292 13010 5390574 1 2 4 186049.509496124 135996.058621843 11.8203811835765 34.513858727498 3.54136094562289 10 625 151 4415 2909 "UNC-14" 2175 826 "OECD" "OECD" 3424518.74366768 3458045.50059869 "EStat" 537.6 1 1 1 1 28.5 30.5 19.5 17 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -7.49346158528128 7.97562507758413 3.61073375303048
"184" "DEN" 390 "GFR" 260 2004 13692 14881 5404523 1 2 4 194155.462693798 147165.573420215 11.8993135817022 35.9246251137794 3.58142299666442 10 262 694 9785 5721 "UNC-14" 2160 1029 "OECD" "OECD" 3922630.56092843 3234134.65966657 "EStat" 537.6 4 4 4 4 32.5 34.5 23.5 21 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -7.43528408653211 8.65191597165497 3.60715418079376
"185" "DEN" 390 "GFR" 260 2005 14893 15472 5419432 1 2 4 193311.364437985 157078.19397106 11.9644990111154 35.6700415168941 3.57431116328641 10 223 384 9522 5635 "UNC-14" 2086 1340 "OECD" "OECD" 4289030.11881735 2897669.70618034 "EStat" 537.6 0 0 0 0 32.5 34.5 23.5 21 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -7.3663528919922 8.63676373911831 3.61568517401373
"186" "DEN" 390 "GFR" 260 2006 16052 18329 5437272 1 2 4 206602.985755814 166410.954199061 12.0222156357257 37.9975446797243 3.63752154394737 10 2626 -231 14377 5970 "UNC-14" 2081 1877 "OECD" "OECD" 4934420.18973934 2919222.62135028 "EStat" 537.6 3 4 3 3 35.5 38.5 26.5 24 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -7.22529389630295 8.69453010976929 3.637933747057
"187" "DEN" 390 "GFR" 260 2007 17759 21136 5461438 1 2 4 215705.941182171 180314.922189148 12.102460168879 39.4961805264787 3.67620397169958 10 -3390 952 12571 8532 "UNC-14" 2042 3003 "OECD" "OECD" 5248134.84387952 3323938.47287464 "EStat" 537.6 1 2 1 1 36.5 40.5 27.5 26 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -6.98706975022097 9.05155634862149 3.68234881286402
"188" "DEN" 390 "GFR" 260 2008 20718 22986 5493621 1 2 4 223520.409399225 195525.769290898 12.1834474619507 40.6872642650858 3.70591512615995 10 2073 544 13472 8666 "UNC-14" 2188 3029 "OECD" "OECD" 5506769.82591876 4066316.66206134 "EStat" 537.6 0 4 2 2 36.5 44.5 29.5 28 1 1 0 0 1 0 1 0 0 1 0 1 10 13 -6.95942035588887 9.0671850177826 3.75720822237293
"189" "DEN" 390 "GFR" 260 2009 16450 17367 5523095 1 2 4 216202.065213178 156413.862035295 11.960260735105 39.1450925999242 3.66727506591907 10 672 1809 14354 9672 "UNC-14" 2167 2155 "OECD" "OECD" 4823063.46136133 3203002.67108778 "EStat" 537.6 0 0 0 0 36.5 44.5 29.5 28 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -7.15297541246523 9.17700826266913 3.61423633308292
"190" "DEN" 390 "GFR" 260 2010 16711 17464 5547683 1 2 4 225710.437887597 151410.808998647 11.9277520110873 40.6855326606796 3.70587256637408 10 1814 1031 15624 9941 "UNC-14" 2171 1904 "OECD" "OECD" 4723680.5747444 3108409.32117528 "EStat" 537.6 3 5 3 3 39.5 49.5 32.5 31 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -7.21626489540219 9.20444121528147 3.54673173268607
"191" "DEN" 390 "GFR" 260 2011 18181 19551 5570572 1 2 4 230990.97625969 163348.372351914 12.003640452804 41.4662939927336 3.72488090428308 10 3967 540 19424 9747 "UNC-14" 2315 1882 "OECD" "OECD" 4882932.67016671 3387399.83420834 "EStat" 537.6 0 0 0 0 39.5 49.5 32.5 31 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -7.19088303629552 9.18473862958757 3.57805134735288
"192" "DEN" 390 "GFR" 260 2012 16496 19199 5591572 1 2 4 237691.784786822 150173.469529095 11.9195463684169 42.508937520043 3.74971434841081 10 -552 829 18271 10019 "UNC-14" 2322 1799 "OECD" "OECD" 5256516.53311228 3913051.48751957 "EStat" 537.6 3 5 3 3 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -7.21291989071649 9.21224008244677 3.65267064374722
"193" "DEN" 390 "GFR" 260 2013 18495 20076 5614932 1 2 4 242983.512015504 158739.165797961 11.975017667484 43.2745244315521 3.76756411155191 10 NA NA NA NA NA 2522 1785 "OECD" "OECD" NA NA "EStat" 537.6 0 0 0 0 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -7.17294315060872 NA NA
"194" "DEN" 390 "GFR" 260 2014 20021 20286 5643475 1 2 4 245815.013372093 163972.897534077 12.007456434211 43.5573850104932 3.77407926436409 10 NA NA NA NA NA 2662 1966 "OECD" "OECD" NA NA "EStat" 537.6 0 0 0 0 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 0 1 0 1 10 13 -7.10613048017936 NA NA
"195" "DEN" 390 "GFR" 260 2015 16908 17421 5676002 1 2 4 249255.008430233 137726.420087598 11.833024533325 43.9138337918543 3.78222939098445 10 NA NA NA NA NA NA NA NA NA NA NA "EStat" 537.6 0 0 0 0 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 1 1 0 1 10 13 NA NA NA
"245" "DEN" 390 "LAT" 367 2000 110 129 5339616 1 2 4 191010.159302326 1251.24234686239 7.13189221421703 35.7722651408501 3.57717287642253 10 NA NA NA NA NA 11 280 "OECD" "OECD" 23553.7441282122 27835.5899419729 "EStat" 803.5 0 0 0 0 24.5 24.5 15.5 13 0 0 0 0 0 0 1 0 0 0 0 1 10 14 -9.81734103106687 NA -1.3128959741305
"246" "DEN" 390 "LAT" 367 2001 137 173 5358783 1 2 4 190489.462209302 1627.38660923608 7.39473069991119 35.5471498303444 3.5708599794865 10 8 2 241 NA "UNC-14" NA 216 "OECD" "OECD" 57721.101593442 21378.0970802247 "EStat" 803.5 0 0 0 0 24.5 24.5 15.5 13 0 0 0 0 0 0 1 0 0 0 0 1 10 14 NA NA -0.878894132375674
"247" "DEN" 390 "LAT" 367 2002 151 162 5375931 1 2 4 193896.227034884 1614.26555217956 7.38663536576685 36.067469436435 3.58539133543839 10 24 NA 263 NA "UNC-14" NA 221 "OECD" "OECD" 55644.8374320715 24730.772773326 "EStat" 803.5 3 5 3 3 27.5 29.5 18.5 16 0 0 0 0 0 0 1 0 0 0 0 1 10 14 NA NA -0.880612329246417
"248" "DEN" 390 "LAT" 367 2003 165 230 5390574 1 2 4 186049.509496124 2123.0907894881 7.660628225503 34.513858727498 3.54136094562289 10 -8 58 347 NA "UNC-14" NA 173 "OECD" "OECD" 33639.3110435664 28033.1583310307 "EStat" 803.5 1 1 1 1 28.5 30.5 19.5 17 0 0 0 0 0 0 1 0 0 0 0 1 10 14 NA NA -1.10417518843054
"249" "DEN" 390 "LAT" 367 2004 225 220 5404523 1 2 4 194155.462693798 2291.97774724375 7.73717036890606 35.9246251137794 3.58142299666442 10 23 NA 348 18 "UNC-14" NA 182 "OECD" "OECD" 30600.3500046053 34200.8842221608 "EStat" 803.5 4 4 4 4 32.5 34.5 23.5 21 0 0 0 0 0 0 1 0 0 0 0 1 10 14 NA NA -1.09733454235612
"250" "DEN" 390 "LAT" 367 2005 306 250 5419432 1 2 4 193311.364437985 2876.18889668728 7.96422139703431 35.6700415168941 3.57431116328641 10 9 3 308 16 "UNC-14" 45 244 "OECD" "OECD" 61915.5383623469 44717.5094409137 "EStat" 803.5 0 0 0 0 32.5 34.5 23.5 21 0 0 0 0 0 0 1 0 0 0 0 1 10 14 -9.83907488276383 2.77502082720839 -0.594908695595836
"251" "DEN" 390 "LAT" 367 2006 319 295 5437272 1 2 4 206602.985755814 2971.88347861387 7.99695119868072 37.9975446797243 3.63752154394737 10 94 3 410 20 "UNC-14" 49 315 "OECD" "OECD" 67075.0667771944 56756.0099474993 "EStat" 803.5 3 4 3 3 35.5 38.5 26.5 24 0 0 0 0 0 0 1 0 0 0 0 1 10 14 -9.61163415482872 3.00749212296593 -0.511880656074875
"252" "DEN" 390 "LAT" 367 2007 442 335 5461438 1 2 4 215705.941182171 3602.12609695251 8.18927953260581 39.4961805264787 3.67620397169958 10 130 2 788 20 "UNC-14" 54 355 "OECD" "OECD" 82095.0538822879 49599.2447269043 "EStat" 803.5 1 2 1 1 36.5 40.5 27.5 26 0 0 0 0 0 0 1 0 0 0 0 1 10 14 -9.49950752696587 3.00407302707661 -0.493432779674473
"253" "DEN" 390 "LAT" 367 2008 391 474 5493621 1 2 4 223520.409399225 3869.89269715878 8.26098205880708 40.6872642650858 3.70591512615995 10 26 6 719 38 "UNC-14" 19 442 "OECD" "OECD" 83494.7959841577 35783.826102975 "EStat" 803.5 0 4 2 2 36.5 44.5 29.5 28 1 1 0 0 1 0 1 0 0 0 0 1 10 14 -9.38570011591462 3.63875669172045 -0.628040608635924
"254" "DEN" 390 "LAT" 367 2009 218 344 5523095 1 2 4 216202.065213178 2599.42012785983 7.86304367138897 39.1450925999242 3.66727506591907 10 -19 NA 636 39 "UNC-14" 44 729 "OECD" "OECD" 64475.5457308649 30541.678179976 "EStat" 803.5 0 0 0 0 36.5 44.5 29.5 28 0 0 0 0 0 0 1 0 0 0 0 1 10 14 -8.87416990094464 NA -0.822155277995318
"255" "DEN" 390 "LAT" 367 2010 221 325 5547683 1 2 4 225710.437887597 2419.02857975893 7.79112132524008 40.6855326606796 3.70587256637408 10 53 18 588 53 "UNC-14" 20 860 "OECD" "OECD" 92925.393755181 23653.1270148291 "EStat" 803.5 3 5 3 3 39.5 49.5 32.5 31 0 0 0 0 0 0 1 0 0 0 0 1 10 14 -8.7489690136049 3.97256759202904 -0.660687885490029
"256" "DEN" 390 "LAT" 367 2011 284 423 5570572 1 2 4 230990.97625969 3060.72562421296 8.02640729893079 41.4662939927336 3.72488090428308 10 -279 NA 313 52 "UNC-14" NA 814 "OECD" "OECD" 161052.961223174 25428.8477479967 "EStat" 803.5 0 0 0 0 39.5 49.5 32.5 31 0 0 0 0 0 0 1 0 0 0 0 1 10 14 NA NA -0.214044950649863
"257" "DEN" 390 "LAT" 367 2012 308 471 5591572 1 2 4 237691.784786822 3277.35348825228 8.09479151235104 42.508937520043 3.74971434841081 10 NA 17 300 53 "UNC-14" NA 676 "OECD" "OECD" 202626.139817629 29192.2262135028 "EStat" 803.5 3 5 3 3 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 0 0 0 1 10 14 NA NA -0.0250206525039594
"258" "DEN" 390 "LAT" 367 2013 306 523 5614932 1 2 4 242983.512015504 3411.75412736278 8.13498184486697 43.2745244315521 3.76756411155191 10 NA NA NA NA NA NA 682 "OECD" "OECD" 184397.163120567 29934.6044026895 "EStat" 803.5 0 0 0 0 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 0 0 0 1 10 14 NA NA -0.125468459197888
"259" "DEN" 390 "LAT" 367 2014 349 511 5643475 1 2 4 245815.013372093 3498.56580443363 8.16010839333695 43.5573850104932 3.77407926436409 10 NA NA NA NA NA NA 588 "OECD" "OECD" NA NA "EStat" 803.5 0 0 0 0 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 0 0 0 1 10 14 NA NA NA
"260" "DEN" 390 "LAT" 367 2015 306 471 5676002 1 2 4 249255.008430233 3117.28941734579 8.04471912670678 43.9138337918543 3.78222939098445 10 NA NA NA NA NA NA NA NA NA NA NA "EStat" 803.5 0 0 0 0 42.5 49.5 35.5 34 0 0 0 0 0 0 1 0 1 0 0 1 10 14 NA NA NA
"310" "DEN" 390 "LIT" 368 2000 202 215 5339616 1 2 4 191010.159302326 2183.12995247538 7.68851488408432 35.7722651408501 3.57717287642253 10 NA NA NA NA NA NA 416 "OECD" "OECD" NA NA "EStat" 793.1 0 0 0 0 24.5 24.5 15.5 13 0 0 0 0 0 0 1 0 0 0 0 1 10 15 NA NA NA
"311" "DEN" 390 "LIT" 368 2001 237 225 5358783 1 2 4 190489.462209302 2425.33101118409 7.79372329351374 35.5471498303444 3.5708599794865 10 84 NA 618 NA "UNC-14" NA 416 "OECD" "OECD" NA NA "EStat" 793.1 0 0 0 0 24.5 24.5 15.5 13 0 0 0 0 0 0 1 0 0 0 0 1 10 15 NA NA NA
